probability	num_empty_space	num_suit_left	num_to_draw	deck_size
        0.142	            1	            1	            6	           42
        0.186	            1	            1	            7	           42
          0.2	            1	            1	            8	           42
        0.234	            1	            1	            9	           42
        0.256	            1	            1	           10	           42
        0.244	            1	            1	           11	           42
         0.28	            1	            1	           12	           42
        0.334	            1	            1	           13	           42
         0.36	            1	            1	           14	           42
        0.374	            1	            1	           15	           42
        0.424	            1	            1	           16	           42
        0.442	            1	            1	           17	           42
        0.024	            1	            1	            1	           43
        0.058	            1	            1	            2	           43
        0.098	            1	            1	            3	           43
        0.096	            1	            1	            4	           43
        0.126	            1	            1	            5	           43
         0.18	            1	            1	            6	           43
        0.194	            1	            1	            7	           43
        0.238	            1	            1	            8	           43
        0.244	            1	            1	            9	           43
        0.258	            1	            1	           10	           43
        0.262	            1	            1	           11	           43
        0.262	            1	            1	           12	           43
        0.336	            1	            1	           13	           43
        0.374	            1	            1	           14	           43
        0.396	            1	            1	           15	           43
        0.402	            1	            1	           16	           43
         0.42	            1	            1	           17	           43
         0.01	            1	            1	            1	           44
        0.036	            1	            1	            2	           44
        0.076	            1	            1	            3	           44
        0.072	            1	            1	            4	           44
        0.118	            1	            1	            5	           44
        0.142	            1	            1	            6	           44
         0.13	            1	            1	            7	           44
        0.196	            1	            1	            8	           44
        0.228	            1	            1	            9	           44
        0.244	            1	            1	           10	           44
         0.28	            1	            1	           11	           44
        0.316	            1	            1	           12	           44
        0.308	            1	            1	           13	           44
         0.36	            1	            1	           14	           44
        0.386	            1	            1	           15	           44
        0.358	            1	            1	           16	           44
        0.436	            1	            1	           17	           44
        0.026	            1	            1	            1	           45
        0.048	            1	            1	            2	           45
        0.066	            1	            1	            3	           45
        0.104	            1	            1	            4	           45
        0.134	            1	            1	            5	           45
        0.146	            1	            1	            6	           45
        0.148	            1	            1	            7	           45
        0.214	            1	            1	            8	           45
        0.254	            1	            1	            9	           45
        0.214	            1	            1	           10	           45
        0.282	            1	            1	           11	           45
        0.318	            1	            1	           12	           45
        0.302	            1	            1	           13	           45
        0.354	            1	            1	           14	           45
        0.404	            1	            1	           15	           45
        0.412	            1	            1	           16	           45
        0.422	            1	            1	           17	           45
        0.024	            1	            1	            1	           46
        0.038	            1	            1	            2	           46
        0.084	            1	            1	            3	           46
        0.108	            1	            1	            4	           46
        0.108	            1	            1	            5	           46
         0.14	            1	            1	            6	           46
        0.202	            1	            1	            7	           46
