Probability	Target freq	Row freq	Deck freq	Number to draw	Deck size
    0.408	        1	        0	        1	       14	       35
    0.456	        1	        0	        1	       15	       35
    0.462	        1	        0	        1	       16	       35
    0.496	        1	        0	        1	       17	       35
      0.0	        1	        0	        1	        0	       36
    0.022	        1	        0	        1	        1	       36
    0.054	        1	        0	        1	        2	       36
     0.07	        1	        0	        1	        3	       36
     0.12	        1	        0	        1	        4	       36
     0.15	        1	        0	        1	        5	       36
    0.142	        1	        0	        1	        6	       36
    0.232	        1	        0	        1	        7	       36
    0.202	        1	        0	        1	        8	       36
    0.254	        1	        0	        1	        9	       36
    0.296	        1	        0	        1	       10	       36
    0.352	        1	        0	        1	       11	       36
    0.348	        1	        0	        1	       12	       36
    0.362	        1	        0	        1	       13	       36
    0.372	        1	        0	        1	       14	       36
    0.446	        1	        0	        1	       15	       36
    0.416	        1	        0	        1	       16	       36
     0.49	        1	        0	        1	       17	       36
      0.0	        1	        0	        1	        0	       37
    0.028	        1	        0	        1	        1	       37
    0.062	        1	        0	        1	        2	       37
     0.09	        1	        0	        1	        3	       37
     0.12	        1	        0	        1	        4	       37
    0.124	        1	        0	        1	        5	       37
    0.144	        1	        0	        1	        6	       37
    0.178	        1	        0	        1	        7	       37
    0.188	        1	        0	        1	        8	       37
     0.27	        1	        0	        1	        9	       37
    0.298	        1	        0	        1	       10	       37
     0.28	        1	        0	        1	       11	       37
    0.332	        1	        0	        1	       12	       37
    0.344	        1	        0	        1	       13	       37
     0.38	        1	        0	        1	       14	       37
     0.38	        1	        0	        1	       15	       37
     0.41	        1	        0	        1	       16	       37
    0.512	        1	        0	        1	       17	       37
      0.0	        1	        0	        1	        0	       38
    0.034	        1	        0	        1	        1	       38
    0.058	        1	        0	        1	        2	       38
    0.074	        1	        0	        1	        3	       38
    0.106	        1	        0	        1	        4	       38
    0.162	        1	        0	        1	        5	       38
    0.176	        1	        0	        1	        6	       38
    0.176	        1	        0	        1	        7	       38
    0.236	        1	        0	        1	        8	       38
     0.24	        1	        0	        1	        9	       38
    0.272	        1	        0	        1	       10	       38
    0.306	        1	        0	        1	       11	       38
    0.332	        1	        0	        1	       12	       38
    0.336	        1	        0	        1	       13	       38
    0.344	        1	        0	        1	       14	       38
    0.382	        1	        0	        1	       15	       38
      0.4	        1	        0	        1	       16	       38
    0.458	        1	        0	        1	       17	       38
      0.0	        1	        0	        1	        0	       39
    0.014	        1	        0	        1	        1	       39
    0.048	        1	        0	        1	        2	       39
    0.074	        1	        0	        1	        3	       39
    0.096	        1	        0	        1	        4	       39
    0.134	        1	        0	        1	        5	       39
    0.136	        1	        0	        1	        6	       39
    0.174	        1	        0	        1	        7	       39
    0.196	        1	        0	        1	        8	       39
    0.224	        1	        0	        1	        9	       39
    0.252	        1	        0	        1	       10	       39
    0.332	        1	        0	        1	       11	       39
    0.308	        1	        0	        1	       12	       39
    0.326	        1	        0	        1	       13	       39
    0.364	        1	        0	        1	       14	       39
    0.382	        1	        0	        1	       15	       39
    0.404	        1	        0	        1	       16	       39
    0.422	        1	        0	        1	       17	       39
      0.0	        1	        0	        1	        0	       40
    0.034	        1	        0	        1	        1	       40
    0.046	        1	        0	        1	        2	       40
    0.086	        1	        0	        1	        3	       40
    0.122	        1	        0	        1	        4	       40
     0.13	        1	        0	        1	        5	       40
     0.16	        1	        0	        1	        6	       40
    0.186	        1	        0	        1	        7	       40
    0.188	        1	        0	        1	        8	       40
    0.242	        1	        0	        1	        9	       40
    0.244	        1	        0	        1	       10	       40
    0.284	        1	        0	        1	       11	       40
    0.322	        1	        0	        1	       12	       40
     0.32	        1	        0	        1	       13	       40
    0.334	        1	        0	        1	       14	       40
     0.39	        1	        0	        1	       15	       40
    0.452	        1	        0	        1	       16	       40
    0.426	        1	        0	        1	       17	       40
      0.0	        1	        0	        1	        0	       41
    0.038	        1	        0	        1	        1	       41
    0.062	        1	        0	        1	        2	       41
    0.068	        1	        0	        1	        3	       41
    0.122	        1	        0	        1	        4	       41
     0.11	        1	        0	        1	        5	       41
    0.136	        1	        0	        1	        6	       41
    0.162	        1	        0	        1	        7	       41
    0.168	        1	        0	        1	        8	       41
    0.226	        1	        0	        1	        9	       41
    0.226	        1	        0	        1	       10	       41
    0.274	        1	        0	        1	       11	       41
    0.264	        1	        0	        1	       12	       41
    0.332	        1	        0	        1	       13	       41
    0.338	        1	        0	        1	       14	       41
    0.346	        1	        0	        1	       15	       41
    0.378	        1	        0	        1	       16	       41
    0.444	        1	        0	        1	       17	       41
      0.0	        1	        0	        1	        0	       42
    0.032	        1	        0	        1	        1	       42
    0.056	        1	        0	        1	        2	       42
    0.088	        1	        0	        1	        3	       42
      0.1	        1	        0	        1	        4	       42
    0.108	        1	        0	        1	        5	       42
    0.126	        1	        0	        1	        6	       42
    0.148	        1	        0	        1	        7	       42
     0.16	        1	        0	        1	        8	       42
    0.236	        1	        0	        1	        9	       42
    0.252	        1	        0	        1	       10	       42
    0.274	        1	        0	        1	       11	       42
    0.296	        1	        0	        1	       12	       42
    0.298	        1	        0	        1	       13	       42
    0.344	        1	        0	        1	       14	       42
    0.322	        1	        0	        1	       15	       42
    0.394	        1	        0	        1	       16	       42
    0.408	        1	        0	        1	       17	       42
      0.0	        1	        0	        1	        0	       43
    0.022	        1	        0	        1	        1	       43
    0.054	        1	        0	        1	        2	       43
    0.072	        1	        0	        1	        3	       43
    0.084	        1	        0	        1	        4	       43
     0.12	        1	        0	        1	        5	       43
    0.136	        1	        0	        1	        6	       43
    0.174	        1	        0	        1	        7	       43
    0.212	        1	        0	        1	        8	       43
    0.228	        1	        0	        1	        9	       43
    0.206	        1	        0	        1	       10	       43
    0.268	        1	        0	        1	       11	       43
     0.34	        1	        0	        1	       12	       43
     0.32	        1	        0	        1	       13	       43
    0.362	        1	        0	        1	       14	       43
    0.352	        1	        0	        1	       15	       43
     0.35	        1	        0	        1	       16	       43
    0.404	        1	        0	        1	       17	       43
      0.0	        1	        0	        1	        0	       44
    0.024	        1	        0	        1	        1	       44
     0.06	        1	        0	        1	        2	       44
    0.092	        1	        0	        1	        3	       44
    0.078	        1	        0	        1	        4	       44
    0.106	        1	        0	        1	        5	       44
    0.136	        1	        0	        1	        6	       44
     0.16	        1	        0	        1	        7	       44
    0.162	        1	        0	        1	        8	       44
    0.204	        1	        0	        1	        9	       44
     0.22	        1	        0	        1	       10	       44
     0.24	        1	        0	        1	       11	       44
    0.284	        1	        0	        1	       12	       44
    0.304	        1	        0	        1	       13	       44
    0.332	        1	        0	        1	       14	       44
    0.344	        1	        0	        1	       15	       44
     0.38	        1	        0	        1	       16	       44
    0.382	        1	        0	        1	       17	       44
      0.0	        1	        0	        1	        0	       45
     0.01	        1	        0	        1	        1	       45
    0.042	        1	        0	        1	        2	       45
    0.048	        1	        0	        1	        3	       45
    0.076	        1	        0	        1	        4	       45
    0.106	        1	        0	        1	        5	       45
    0.146	        1	        0	        1	        6	       45
    0.182	        1	        0	        1	        7	       45
     0.16	        1	        0	        1	        8	       45
    0.198	        1	        0	        1	        9	       45
    0.264	        1	        0	        1	       10	       45
    0.224	        1	        0	        1	       11	       45
    0.266	        1	        0	        1	       12	       45
    0.302	        1	        0	        1	       13	       45
    0.342	        1	        0	        1	       14	       45
      0.3	        1	        0	        1	       15	       45
     0.32	        1	        0	        1	       16	       45
    0.362	        1	        0	        1	       17	       45
      0.0	        1	        0	        1	        0	       46
    0.024	        1	        0	        1	        1	       46
     0.03	        1	        0	        1	        2	       46
    0.044	        1	        0	        1	        3	       46
    0.076	        1	        0	        1	        4	       46
    0.116	        1	        0	        1	        5	       46
    0.114	        1	        0	        1	        6	       46
     0.18	        1	        0	        1	        7	       46
     0.18	        1	        0	        1	        8	       46
    0.184	        1	        0	        1	        9	       46
    0.226	        1	        0	        1	       10	       46
    0.226	        1	        0	        1	       11	       46
    0.246	        1	        0	        1	       12	       46
    0.274	        1	        0	        1	       13	       46
    0.268	        1	        0	        1	       14	       46
     0.32	        1	        0	        1	       15	       46
    0.332	        1	        0	        1	       16	       46
     0.39	        1	        0	        1	       17	       46
      0.0	        1	        0	        1	        0	       47
    0.024	        1	        0	        1	        1	       47
    0.052	        1	        0	        1	        2	       47
    0.074	        1	        0	        1	        3	       47
    0.084	        1	        0	        1	        4	       47
    0.106	        1	        0	        1	        5	       47
    0.106	        1	        0	        1	        6	       47
    0.144	        1	        0	        1	        7	       47
    0.206	        1	        0	        1	        8	       47
      0.2	        1	        0	        1	        9	       47
    0.212	        1	        0	        1	       10	       47
     0.25	        1	        0	        1	       11	       47
    0.236	        1	        0	        1	       12	       47
    0.276	        1	        0	        1	       13	       47
     0.33	        1	        0	        1	       14	       47
    0.318	        1	        0	        1	       15	       47
    0.344	        1	        0	        1	       16	       47
    0.352	        1	        0	        1	       17	       47
      0.0	        1	        0	        1	        0	       48
    0.024	        1	        0	        1	        1	       48
    0.034	        1	        0	        1	        2	       48
    0.078	        1	        0	        1	        3	       48
    0.092	        1	        0	        1	        4	       48
     0.11	        1	        0	        1	        5	       48
    0.124	        1	        0	        1	        6	       48
    0.148	        1	        0	        1	        7	       48
    0.164	        1	        0	        1	        8	       48
    0.182	        1	        0	        1	        9	       48
     0.19	        1	        0	        1	       10	       48
    0.212	        1	        0	        1	       11	       48
    0.272	        1	        0	        1	       12	       48
     0.29	        1	        0	        1	       13	       48
    0.278	        1	        0	        1	       14	       48
    0.326	        1	        0	        1	       15	       48
    0.352	        1	        0	        1	       16	       48
    0.388	        1	        0	        1	       17	       48
      0.0	        1	        0	        1	        0	       49
    0.026	        1	        0	        1	        1	       49
    0.034	        1	        0	        1	        2	       49
     0.07	        1	        0	        1	        3	       49
    0.076	        1	        0	        1	        4	       49
    0.108	        1	        0	        1	        5	       49
    0.118	        1	        0	        1	        6	       49
    0.142	        1	        0	        1	        7	       49
    0.194	        1	        0	        1	        8	       49
     0.18	        1	        0	        1	        9	       49
    0.206	        1	        0	        1	       10	       49
    0.216	        1	        0	        1	       11	       49
    0.238	        1	        0	        1	       12	       49
    0.262	        1	        0	        1	       13	       49
     0.27	        1	        0	        1	       14	       49
    0.312	        1	        0	        1	       15	       49
    0.362	        1	        0	        1	       16	       49
    0.362	        1	        0	        1	       17	       49
      0.0	        1	        0	        1	        0	       50
    0.018	        1	        0	        1	        1	       50
    0.048	        1	        0	        1	        2	       50
